Sistema, Usuario, CPU, Memoria, espacioDisco, espacioLibre, porcentajeOcupado, Usb 
Windows 11,Patroclo,12.55,60.6,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,5.18,60.71,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.85,60.67,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,6.14,61.25,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.87,61.16,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,4.03,61.2,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,3.74,61.24,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,6.24,61.37,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,3.91,61.48,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.71,61.02,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,5.27,61.26,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,6.21,61.69,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,4.85,60.18,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,3.67,60.18,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.25,60.1,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.32,60.12,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.1,60.0,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.69,59.86,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.69,59.84,947.0,212.0,77.61,USBX,
